127.0.0.1 - - [13/Sep/2020:01:55:03 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [13/Sep/2020:01:57:07 +0700] "GET /CrmApp/home HTTP/1.1" 200 9421
0:0:0:0:0:0:0:1 - - [13/Sep/2020:01:57:07 +0700] "GET /CrmApp/static/plugins/bower_components/sidebar-nav/dist/sidebar-nav.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2020:01:57:07 +0700] "GET /CrmApp/static/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2020:01:57:07 +0700] "GET /CrmApp/static/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2020:01:57:07 +0700] "GET /CrmApp/static/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2020:01:57:07 +0700] "GET /CrmApp/static/css/colors/blue.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2020:01:57:07 +0700] "GET /CrmApp/static/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2020:01:57:07 +0700] "GET /CrmApp/static/plugins/bower_components/jquery/dist/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2020:01:57:07 +0700] "GET /CrmApp/static/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2020:01:57:07 +0700] "GET /CrmApp/static/plugins/bower_components/sidebar-nav/dist/sidebar-nav.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2020:01:57:07 +0700] "GET /CrmApp/static/js/waves.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2020:01:57:07 +0700] "GET /CrmApp/static/js/jquery.slimscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2020:01:57:07 +0700] "GET /CrmApp/static/plugins/bower_components/waypoints/lib/jquery.waypoints.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2020:01:57:07 +0700] "GET /CrmApp/static/plugins/bower_components/counterup/jquery.counterup.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2020:01:57:07 +0700] "GET /CrmApp/static/plugins/bower_components/raphael/raphael-min.js HTTP/1.1" 304 -
