127.0.0.1 - - [14/Sep/2020:14:48:15 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/Sep/2020:14:48:16 +0700] "GET /CrmApp/WEB-INF/views/job/detail.jsp HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2020:14:48:16 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [14/Sep/2020:14:48:27 +0700] "GET /CrmApp/role HTTP/1.1" 200 7966
0:0:0:0:0:0:0:1 - - [14/Sep/2020:14:48:27 +0700] "GET /CrmApp/static/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2020:14:48:27 +0700] "GET /CrmApp/static/css/colors/blue-dark.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2020:14:48:27 +0700] "GET /CrmApp/static/plugins/bower_components/sidebar-nav/dist/sidebar-nav.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2020:14:48:27 +0700] "GET /CrmApp/static/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2020:14:48:27 +0700] "GET /CrmApp/static/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2020:14:48:27 +0700] "GET /CrmApp/static/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2020:14:48:27 +0700] "GET /CrmApp/static/plugins/bower_components/jquery/dist/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2020:14:48:27 +0700] "GET /CrmApp/static/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2020:14:48:27 +0700] "GET /CrmApp/static/plugins/bower_components/sidebar-nav/dist/sidebar-nav.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2020:14:48:27 +0700] "GET /CrmApp/static/js/jquery.slimscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2020:14:48:27 +0700] "GET /CrmApp/static/js/waves.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2020:14:48:27 +0700] "GET /CrmApp/static/plugins/bower_components/waypoints/lib/jquery.waypoints.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2020:14:48:27 +0700] "GET /CrmApp/static/plugins/bower_components/raphael/raphael-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2020:14:48:27 +0700] "GET /CrmApp/static/plugins/bower_components/counterup/jquery.counterup.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2020:14:48:27 +0700] "GET /CrmApp/static/plugins/bower_components/morrisjs/morris.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2020:14:48:27 +0700] "GET /CrmApp/static/js/dashboard1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2020:14:48:27 +0700] "GET /CrmApp/static/plugins/bower_components/toast-master/js/jquery.toast.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2020:14:48:27 +0700] "GET /CrmApp/static/js/custom.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2020:14:48:27 +0700] "GET /CrmApp/static/plugins/images/pixeladmin-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2020:14:48:27 +0700] "GET /CrmApp/static/plugins/images/pixeladmin-text.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2020:14:48:27 +0700] "GET /CrmApp/static/css/spinners.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2020:14:48:27 +0700] "GET /CrmApp/static/plugins/images/users/varun.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2020:14:48:27 +0700] "GET /CrmApp/static/less/icons/font-awesome/fonts/fontawesome-webfont.woff2?v=4.5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2020:14:48:30 +0700] "GET /CrmApp/role/add HTTP/1.1" 200 7299
0:0:0:0:0:0:0:1 - - [14/Sep/2020:14:48:32 +0700] "GET /CrmApp/user HTTP/1.1" 200 8232
0:0:0:0:0:0:0:1 - - [14/Sep/2020:14:48:33 +0700] "GET /CrmApp/home HTTP/1.1" 200 9426
0:0:0:0:0:0:0:1 - - [14/Sep/2020:14:48:34 +0700] "GET /CrmApp/role HTTP/1.1" 200 7746
0:0:0:0:0:0:0:1 - - [14/Sep/2020:14:48:35 +0700] "GET /CrmApp/job HTTP/1.1" 200 8171
0:0:0:0:0:0:0:1 - - [14/Sep/2020:14:48:35 +0700] "GET /CrmApp/role HTTP/1.1" 200 7746
0:0:0:0:0:0:0:1 - - [14/Sep/2020:14:48:36 +0700] "GET /CrmApp/user HTTP/1.1" 200 8232
0:0:0:0:0:0:0:1 - - [14/Sep/2020:14:48:38 +0700] "GET /CrmApp/user/edit?id=5 HTTP/1.1" 200 8755
0:0:0:0:0:0:0:1 - - [14/Sep/2020:14:48:46 +0700] "GET /CrmApp/role HTTP/1.1" 200 7746
0:0:0:0:0:0:0:1 - - [14/Sep/2020:14:48:48 +0700] "GET /CrmApp/job HTTP/1.1" 200 8171
0:0:0:0:0:0:0:1 - - [14/Sep/2020:14:48:50 +0700] "GET /CrmApp/job/detail?id=1 HTTP/1.1" 200 12718
0:0:0:0:0:0:0:1 - - [14/Sep/2020:14:48:50 +0700] "GET /CrmApp/static/plugins/images/users/pawandeep.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2020:14:48:53 +0700] "GET /CrmApp/home HTTP/1.1" 200 9426
0:0:0:0:0:0:0:1 - - [14/Sep/2020:14:48:54 +0700] "GET /CrmApp/home HTTP/1.1" 200 9426
0:0:0:0:0:0:0:1 - - [14/Sep/2020:14:49:00 +0700] "GET /CrmApp/home HTTP/1.1" 200 9426
0:0:0:0:0:0:0:1 - - [14/Sep/2020:14:49:01 +0700] "GET /CrmApp/user HTTP/1.1" 200 8232
0:0:0:0:0:0:0:1 - - [14/Sep/2020:14:49:02 +0700] "GET /CrmApp/home HTTP/1.1" 200 9426
0:0:0:0:0:0:0:1 - - [14/Sep/2020:14:49:03 +0700] "GET /CrmApp/user HTTP/1.1" 200 8232
0:0:0:0:0:0:0:1 - - [14/Sep/2020:14:49:04 +0700] "GET /CrmApp/role HTTP/1.1" 200 7746
0:0:0:0:0:0:0:1 - - [14/Sep/2020:14:49:05 +0700] "GET /CrmApp/job HTTP/1.1" 200 8171
0:0:0:0:0:0:0:1 - - [14/Sep/2020:14:49:08 +0700] "GET /CrmApp/job/delete?id=9 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2020:14:49:08 +0700] "GET /CrmApp/job HTTP/1.1" 200 7759
0:0:0:0:0:0:0:1 - - [14/Sep/2020:14:49:09 +0700] "GET /CrmApp/job/add HTTP/1.1" 200 7528
0:0:0:0:0:0:0:1 - - [14/Sep/2020:14:49:12 +0700] "POST /CrmApp/job/add HTTP/1.1" 500 1325
